objectid,title,creator,date,publisher,publication_place,subject,genre,format,filename,source_link,state,title_variant,creator_variant,digital_notes,research_notes,developer_notes,pictures
ct_074,Righted at Last; A Novel,Martha Russell,1872,D. Appleton & Co.,New York,,Novel,record,https://hdl.handle.net/2027/loc.ark:/13960/t3ws9jr5x,https://hdl.handle.net/2027/loc.ark:/13960/t3ws9jr5x,Connecticut,Righted at Last,Martha Russell,,Published anonymously,,
ct_075,Ruby Gray's Strategy,Ann S. (Ann Sophia) Stephens,1869,T.B. Peterson & Brothers,Philadelphia,,Novel,record,https://hdl.handle.net/2027/nyp.33433076021637,https://hdl.handle.net/2027/nyp.33433076021637,Connecticut,Ruby Gray's Strategy,Ann S. Stephens,,,,
ct_076,Sam Lawson's Oldtown Fireside Stories,Harriet Beecher Stowe,1871,J.R. Osgood & Company,Boston,Region & Regionalism,Stories,record,https://hdl.handle.net/2027/coo1.ark:/13960/t6sx6vj34,https://hdl.handle.net/2027/coo1.ark:/13960/t6sx6vj34,Connecticut,Sam Lawson's Fireside Stories,Mrs. H. B. Stowe,,,,
ct_077,"Sibyl Monroe, the Forger's Daughter; Or, Out of the Shadow into the Sun",Martha Russell,1859,L.P. Crown and Company,Boston,,Novel,record,https://hdl.handle.net/2027/osu.32435055431969,https://hdl.handle.net/2027/osu.32435055431969,Connecticut,The Forger's Daughter,Martha Russell,,,,
ct_078,Silent Struggles,Ann S. (Ann Sophia) Stephens,1865,T.B. Peterson & Brothers,Philadelphia,,Novel,record,https://hdl.handle.net/2027/uc2.ark:/13960/t1ng4h12x,https://hdl.handle.net/2027/uc2.ark:/13960/t1ng4h12x,Connecticut,Silent Struggles,Ann S. Stephens,,,,
ct_079,Some Other Folks,Sarah Pratt McLean Greene,1884,"Cupples, Upham and Company",Boston,,Novel,record,https://hdl.handle.net/2027/nyp.33433112002625,https://hdl.handle.net/2027/nyp.33433112002625,Connecticut,Some Other Folks,Sally Pratt McLean,,,,
ct_080,Somebody's Neighbors,Rose Terry Cooke,1881,J.R. Osgood and Company,Boston,,Stories,record,https://hdl.handle.net/2027/coo.31924022022036,https://hdl.handle.net/2027/coo.31924022022036,Connecticut,Somebody's Neighbors,Rose Terry Cooke,,,,
ct_081,Summer Drift-wood for the Winter Fire,Rose Porter,1870,Anson D.F. Randolph,New York,Philosophy & Religion; Children's Literature,Novel,record,https://hdl.handle.net/2027/uc2.ark:/13960/t0pr7n15z,https://hdl.handle.net/2027/uc2.ark:/13960/t0pr7n15z,Connecticut,Summer Driftwood,Rose Porter,,,,
ct_082,The Chimney-Corner,Harriet Beecher Stowe,1868,Ticknor & Fields,Boston,Women's Work & Culture; Suffrage & Women's Rights; Marriage; Reform,Stories,record,https://hdl.handle.net/2027/uc2.ark:/13960/t83j3bj78,https://hdl.handle.net/2027/uc2.ark:/13960/t83j3bj78,Connecticut,The Chimney Corner,"Mrs. H. B. Stowe, Christopher Crowfield",,,,
ct_083,"The Church in the Wilderness; or, From Horeb to Canaan; A Continuation of the National and Religious Education of the Israelites",E. Bedell (Elizabeth Bedell) Benjamin,1872,Anson D. F. Randolph & Company,New York,Philosophy & Religion,Textbook; Religious Instruction,record,https://hdl.handle.net/2027/nnc1.cr60001356,https://hdl.handle.net/2027/nnc1.cr60001356,Connecticut,"The Church in the Wilderness; or, From Horeb to Canaan",E. Bedell Benjamin,,,,
ct_084,The Daily Counsellor,L. H. (Lydia Howard) Sigourney,1859,Brown and Gross,Hartford,Philosophy & Religion,Poetry,record,https://hdl.handle.net/2027/loc.ark:/13960/t53f5jh95,https://hdl.handle.net/2027/loc.ark:/13960/t53f5jh95,Connecticut,The Daily Counsellor,Mrs. L. H. Sigourney,,,,
