objectid,title,creator,date,publisher,publication_place,subject,genre,format,filename,source_link,state,title_variant,creator_variant,digital_notes,research_notes,developer_notes,pictures
ct_036,Agnes of Sorrento,Harriet Beecher Stowe,1869,"Fields, Osgood & Co.",Boston,Region & Regionalism; War; Fine Arts,Novel,record,https://hdl.handle.net/2027/hvd.hwpa9s,https://hdl.handle.net/2027/hvd.hwpa9s,Connecticut,Agnes of Sorrento,H. B. Stowe,,,,
ct_037,Among the Daisies,Edith Beach,1883,American Publishing Company,Hartford,,Poetry,record,https://hdl.handle.net/2027/hvd.32044046616132,https://hdl.handle.net/2027/hvd.32044046616132,Connecticut,Among the Daisies,"Edith Beach, E. B.",,,,
ct_038,Bertha's Engagement,Ann S. (Ann Sophia) Stephens,1875,T.B. Peterson & Brothers,Philadelphia,,Novel,record,https://hdl.handle.net/2027/nyp.33433076022577,https://hdl.handle.net/2027/nyp.33433076022577,Connecticut,Bertha's Engagement,Ann S. Stephens,,,,
ct_039,Bellehood and Bondage,Ann S. (Ann Sophia) Stephens,1873,T.B. Peterson & Brothers,Philadelphia,,Novel,record,https://hdl.handle.net/2027/nyp.33433076022585,https://hdl.handle.net/2027/nyp.33433076022585,Connecticut,Bellehood and Bondage,Ann S. Stephens,,,,
ct_040,Brightside,E. Bedell (Elizabeth Bedell) Benjamin,1873,Robert Carter & Brothers,New York,Children's Literature; Philosophy & Religion,Novel,record,https://archive.org/details/brightside00benj,https://archive.org/details/brightside00benj,Connecticut,Brightside,E. Bedell Benjamin,,,,
ct_041,The Brightside Children,E. Bedell (Elizabeth Bedell) Benjamin,1873,Robert Carter & Brothers,New York,Children's Literature; Philosophy & Religion,Novel,record,https://archive.org/details/brightside00benj/page/n5,https://archive.org/details/brightside00benj/page/n5,Connecticut,Brightside Children,E. Bedell Benjamin,,Also included in the New York section.,,
ct_042,Cape Cod Folks,Sarah Pratt McLean Greene,1881,A. Williams & Company,Boston,,Novel,record,https://hdl.handle.net/2027/hvd.hn5fuv,https://hdl.handle.net/2027/hvd.hn5fuv,Connecticut,Cape Cod Folks,Sally Pratt McLean,,,,
ct_043,"Charity, Sweet Charity",Rose Porter,1880,Anson D. F. Randolph & Company,New York,Philosophy & Religion,Novel,record,https://hdl.handle.net/2027/wu.89098003551,https://hdl.handle.net/2027/wu.89098003551,Connecticut,"Charity, Sweet Charity",Rose Porter,,,,
ct_044,The Curse of Gold,Ann S. (Ann Sophia) Stephens,1869,T.B. Peterson & Brothers,Philadelphia,,Novel,record,https://hdl.handle.net/2027/nyp.33433076022569,https://hdl.handle.net/2027/nyp.33433076022569,Connecticut,Curse of Gold,Ann S. Stephens,,,,
ct_045,Doubly False,Ann S. (Ann Sophia) Stephens,1868,T.B. Peterson & Brothers,Philadelphia,,Novel,record,https://hdl.handle.net/2027/nyp.33433076022551,https://hdl.handle.net/2027/nyp.33433076022551,Connecticut,Doubly False,Ann S. Stephens,,,,
ct_046,Eleven Months in Horeb; Being the Period of the National and Religious Education of the Israelites,E. Bedell (Elizabeth Bedell) Benjamin,1869,Anson D.F. Randolph & Company,New York,Philosophy & Religion,Textbook; Religious Instruction,record,https://hdl.handle.net/2027/nnc1.cr59885700,https://hdl.handle.net/2027/nnc1.cr59885700,Connecticut,Eleven Months in Horeb,E. Bedell Benjamin,,,,
ct_047,Fashion and Famine,Ann S. (Ann Sophia) Stephens,1854,T.B. Peterson & Brothers,Philadelphia,,Novel,record,https://hdl.handle.net/2027/hvd.rsl27i,https://hdl.handle.net/2027/hvd.rsl27i,Connecticut,Fashion and Famine,Ann S. Stephens,,,,
ct_048,Footsteps of the Master,Harriet Beecher Stowe,1877,J.B. Ford & Company,New York,Philosophy & Religion,Religious Instruction,record,https://hdl.handle.net/2027/loc.ark:/13960/t5bc54g78,https://hdl.handle.net/2027/loc.ark:/13960/t5bc54g78,Connecticut,Footsteps of the Master,H. Beecher Stowe,,,,
ct_049,Foregleams of Immortality; and an In Memoriam,Rose Porter,1884,Anson D.F. Randolph & Company,New York,Philosophy & Religion,Religious Instruction,record,https://archive.org/details/foregleamsofimmo00port,https://archive.org/details/foregleamsofimmo00port,Connecticut,Foregleams of Immortality,Rose Porter,,,,
ct_050,Genealogy of the Descendents of Jasper Griffing,Clara Jeannette Stone,1881,De Baun & Morgenthaler,New York,Life Writing,History; Biography,record,https://archive.org/details/genealogyofdesce00ston,https://archive.org/details/genealogyofdesce00ston,Connecticut,Genealogy of the Descendants of Jasper Griffing,Miss Clara J. Stone,,,,
ct_051,The Gold Brick,Ann S. (Ann Sophia) Stephens,1866,T.B. Peterson & Brothers,Philadelphia,,Novel,record,https://hdl.handle.net/2027/nyp.33433076022536,https://hdl.handle.net/2027/nyp.33433076022536,Connecticut,The Gold Buck,Ann S. Stephens,,,,
ct_052,Hilda and I; A Story of Three Loves,E. Bedell (Elizabeth Bedell) Benjamin,1880,G.W. Carleton & Company,New York,,Novel,record,https://hdl.handle.net/2027/nyp.33433074835509,https://hdl.handle.net/2027/nyp.33433074835509,Connecticut,Hilda and I: A Story of Three Loves,E. Bedell Benjamin,,,,
ct_053,"History of Norwich, Connecticutt; From its Settlement in 1660, to January 1845",Frances Manwaring Caulkins,1866,Published by the Author,"Hartford, CT",Region & Regionalism,History,record,https://hdl.handle.net/2027/nyp.33433081924338,https://hdl.handle.net/2027/nyp.33433081924338,Connecticut,History of Norwich,Frances M. Calkins,,,,
ct_054,"History of Windham County, Connecticutt",Ellen D. (Ellen Douglas) Larned,1874,Published by the Author,"Worcester, MA",Region & Regionalism,History,record,https://hdl.handle.net/2027/hvd.32044024590689,https://hdl.handle.net/2027/hvd.32044024590689,Connecticut,History of Windham County,Ellen D. Larned,,Two volumes,,
